бил,v,act,imp,3sg
көр,v,act,imp,3sg
тарт,v,act,imp,3sg
күт,v,act,imp,3sg
бас,v,act,imp,3sg
тий,v,act,imp,3sg
отур,v,act,imp,3sg
өс,v,act,imp,3sg
жап,v,act,imp,3sg
сат,v,act,imp,3sg
батыр,v,act,imp,3sg
айлан,v,act,imp,3sg
байка,v,act,imp,3sg
бийле,v,act,imp,3sg
иште,v,act,imp,3sg
текшер,v,act,imp,3sg
сун,v,act,imp,3sg
чурка,v,act,imp,3sg
унчук,v,act,imp,3sg
сыйла,v,act,imp,3sg
сык,v,act,imp,3sg
бүтүр,v,act,imp,3sg
бошот,v,act,imp,3sg
шаш,v,act,imp,3sg
айкындыр,v,caus,imp,2sg
айландыр,v,caus,imp,2sg
айкайлат,v,caus,imp,2sg
айкалт,v,caus,imp,2sg
айкаштыр,v,caus,imp,2sg
айкырт,v,caus,imp,2sg
айлант,v,caus,imp,2sg
айныт,v,caus,imp,2sg
айрат,v,caus,imp,2sg
айрылт,v,caus,imp,2sg
адаштыр,v,caus,imp,2sg
ажырат,v,caus,imp,2sg
азайт,v,caus,imp,2sg
айгайлат,v,caus,imp,2sg
айдат,v,caus,imp,2sg
айттыр,v,caus,imp,2sg
айыктыр,v,caus,imp,2sg
айырт,v,caus,imp,2sg
алайт,v,caus,imp,2sg
алаксыт,v,caus,imp,2sg
алактат,v,caus,imp,2sg
алаңдат,v,caus,imp,2sg
албайт,v,caus,imp,2sg
алдат,v,caus,imp,2sg
алдейлет,v,caus,imp,2sg
алдырат,v,caus,imp,2sg
алкындыр,v,caus,imp,2sg
алсырат,v,caus,imp,2sg
алтындат,v,caus,imp,2sg
алчактат,v,caus,imp,2sg
алынт,v,caus,imp,2sg
алыстат,v,caus,imp,2sg
антаңдат,v,caus,imp,2sg
арбактат,v,caus,imp,2sg
арбаңдат,v,caus,imp,2sg
арбыт,v,caus,imp,2sg
аргыт,v,caus,imp,2sg
аркайт,v,caus,imp,2sg
аркырат,v,caus,imp,2sg
арылдат,v,caus,imp,2sg
арыштат,v,caus,imp,2sg
астыр,v,caus,imp,2sg
атайлат,v,caus,imp,2sg
аттант,v,caus,imp,2sg
аттыр,v,caus,imp,2sg
ачтыр,v,caus,imp,2sg
аштыр,v,caus,imp,2sg
ашыктыр,v,caus,imp,2sg
ашырт,v,caus,imp,2sg
аялдат,v,caus,imp,2sg
багынт,v,caus,imp,2sg
бадырлат,v,caus,imp,2sg
байлат,v,caus,imp,2sg
байлаттыр,v,caus,imp,2sg
бактыр,v,caus,imp,2sg
балкылдат,v,caus,imp,2sg
бастыр,v,caus,imp,2sg
баттыр,v,caus,imp,2sg
бычтыр,v,caus,imp,2sg
жайдыр,v,caus,imp,2sg
жалдыр,v,caus,imp,2sg
жаптыр,v,caus,imp,2sg
жыктыр,v,caus,imp,2sg
жырттыр,v,caus,imp,2sg
кайттыр,v,caus,imp,2sg
кактыр,v,caus,imp,2sg
камындыр,v,caus,imp,2sg
кандыр,v,caus,imp,2sg
каттыр,v,caus,imp,2sg
качтыр,v,caus,imp,2sg
келатыр,v,caus,imp,2sg
кубандыр,v,caus,imp,2sg
кызыктыр,v,caus,imp,2sg
кыйдыр,v,caus,imp,2sg
кырдыр,v,caus,imp,2sg
кырктыр,v,caus,imp,2sg
малдыр,v,caus,imp,2sg
оозандыр,v,caus,imp,2sg
сагындыр,v,caus,imp,2sg
сайдыр,v,caus,imp,2sg
сайыштыр,v,caus,imp,2sg
саттыр,v,caus,imp,2sg
талыктыр,v,caus,imp,2sg
таптыр,v,caus,imp,2sg
тарттыр,v,caus,imp,2sg
таттыр,v,caus,imp,2sg
тутандыр,v,caus,imp,2sg
тутант,v,caus,imp,2sg
тындыр,v,caus,imp,2sg
учкаштыр,v,caus,imp,2sg
чачтыр,v,caus,imp,2sg
чыктыр,v,caus,imp,2sg
шаштыр,v,caus,imp,2sg
азалан,v,pass,imp,
айдал,v,pass,imp,
айтыл,v,pass,imp,
аңтарыл,v,pass,imp,
